"skill_id","experience_id","name","skill_level"
"1","1","ASP.NET Core Web API","10"
"2","1","Blazor WebAssembly","10"
"3","1","C#","10"
"4","1","REST APIs","10"
"5","1","SQL Server","9"
"6","1","Stripe Integration","9"
"7","1","Database Design","9"
"8","1","Performance Optimization","9"
"9","1","Backend Development","10"

"10","2","ASP.NET Core","10"
"11","2","Blazor WebAssembly","10"
"12","2","JWT Authentication","10"
"13","2","SignalR","9"
"14","2","Clean Architecture","10"
"15","2","Entity Framework Core","9"
"16","2","Role-Based Authorization","9"
"17","2","Git","10"
"18","2","GitHub","10"
"19","2","E-Commerce Development","10"

"20","3","ASP.NET Core","10"
"21","3","Blazor WebAssembly","10"
"22","3","JWT Authentication","9"
"23","3","SignalR","8"
"24","3","Microservices","7"
"25","3","CQRS","8"
"26","3","MediatR","8"
"27","3","Docker","7"
"28","3","PostgreSQL","8"

"29","4","ASP.NET Core","9"
"30","4","Dapper","10"
"31","4","ADO.NET","9"
"32","4","SQL Server","9"
"33","4","MVC","8"
"34","4","API Development","9"
"35","4","Database Optimization","9"

"36","5","ASP.NET Core MVC","9"
"37","5","Clean Architecture","9"
"38","5","REST APIs","9"
"39","5","ADO.NET","8"
"40","5","Testing","8"
"41","5","Debugging","9"
"42","5","Technical Documentation","8"
"43","5","Problem Solving","10"

"44","6","Object-Oriented Programming","9"
"45","6","Software Engineering","9"
"46","6","Database Design","8"
"47","6","Web Development","8"
"48","6","Algorithms","8"
"49","6","Data Structures","8"
"50","6","Critical Thinking","9"
"51","6","Teamwork","9"
"52","6","Communication","9"
"53","6","Time Management","9"
"54","6","Research","8"
"55","6","Presentation Skills","8"
"56","6","Leadership","8"
"57","6","Analytical Thinking","9"
